Country Code,total_cells,knn_filled,knn_reliance_pct
LBY,900,187,20.78
PNG,900,180,20.0
BRN,900,167,18.56
GNQ,900,162,18.0
LBR,900,138,15.33
UZB,900,120,13.33
ARE,900,115,12.78
TCD,900,100,11.11
ARM,900,98,10.89
TTO,900,97,10.78
QAT,900,93,10.33
MMR,900,86,9.56
ZWE,900,85,9.44
MWI,900,84,9.33
VEN,900,82,9.11
TUR,900,79,8.78
KAZ,900,78,8.67
GIN,900,75,8.33
YEM,900,73,8.11
SRB,900,72,8.0
LTU,900,71,7.89
ETH,900,70,7.78
BIH,900,70,7.78
SDN,900,68,7.56
GRC,900,67,7.44
SVN,900,66,7.33
BHR,900,66,7.33
AUT,900,66,7.33
IRL,900,66,7.33
MAR,900,65,7.22
IRQ,900,65,7.22
AGO,900,65,7.22
EST,900,64,7.11
MKD,900,62,6.89
SVK,900,61,6.78
CMR,900,61,6.78
NPL,900,61,6.78
GAB,900,59,6.56
GEO,900,59,6.56
ECU,900,57,6.33
PRT,900,56,6.22
TJK,900,56,6.22
CYP,900,56,6.22
FIN,900,56,6.22
DEU,900,56,6.22
ESP,900,56,6.22
FRA,900,56,6.22
COG,900,55,6.11
ARG,900,53,5.89
BRB,900,50,5.56
POL,900,50,5.56
DNK,900,50,5.56
SAU,900,50,5.56
TUN,900,50,5.56
GHA,900,50,5.56
AZE,900,50,5.56
IRN,900,49,5.44
ISR,900,47,5.22
BLR,900,44,4.89
LAO,900,43,4.78
NOR,900,42,4.67
ZMB,900,42,4.67
COD,900,38,4.22
MRT,900,35,3.89
NAM,900,33,3.67
TGO,900,32,3.56
OMN,900,31,3.44
DZA,900,31,3.44
MLI,900,31,3.44
KWT,900,30,3.33
CIV,900,30,3.33
BFA,900,30,3.33
BGR,900,29,3.22
SWZ,900,28,3.11
HRV,900,27,3.0
NLD,900,26,2.89
SWE,900,26,2.89
CHE,900,26,2.89
NGA,900,25,2.78
JAM,900,25,2.78
NZL,900,24,2.67
MDG,900,24,2.67
SEN,900,24,2.67
THA,900,23,2.56
NIC,900,22,2.44
LKA,900,21,2.33
MOZ,900,20,2.22
NER,900,20,2.22
PAK,900,18,2.0
RUS,900,17,1.89
UGA,900,16,1.78
RWA,900,15,1.67
CRI,900,15,1.67
PAN,900,15,1.67
CHN,900,14,1.56
ALB,900,14,1.56
VNM,900,14,1.56
IDN,900,14,1.56
BWA,900,14,1.56
UKR,900,13,1.44
USA,900,13,1.44
BRA,900,13,1.44
ZAF,900,11,1.22
KEN,900,11,1.22
PER,900,11,1.22
CAN,900,11,1.22
GBR,900,10,1.11
DOM,900,9,1.0
URY,900,9,1.0
EGY,900,9,1.0
ITA,900,6,0.67
CHL,900,6,0.67
GTM,900,6,0.67
HND,900,6,0.67
PHL,900,5,0.56
MYS,900,5,0.56
MNG,900,5,0.56
JOR,900,0,0.0
AUS,900,0,0.0
JPN,900,0,0.0
KOR,900,0,0.0
ROU,900,0,0.0
CZE,900,0,0.0
MEX,900,0,0.0
TZA,900,0,0.0
HUN,900,0,0.0
BGD,900,0,0.0
COL,900,0,0.0
BOL,900,0,0.0
IND,900,0,0.0
KGZ,900,0,0.0
